06-28,09:23,17:23
06-29,09:24,17:24
06-30,09:25,17:25
07-01,09:26,17:26
07-02,09:27,17:27
07-03,09:28,17:28
07-04,09:29,17:29
07-05,09:30,17:30
07-06,09:31,17:31
07-07,09:32,17:32
07-08,09:33,17:33
07-09,09:34,17:34
07-10,09:35,17:35
07-11,09:36,17:36
07-12,09:37,17:37
07-13,09:38,17:38
07-14,09:39,17:39
07-15,09:40,17:40
07-16,09:41,17:41
07-17,09:42,17:42
07-18,09:43,17:43
07-19,09:44,17:44
07-20,09:45,17:45
07-21,09:46,17:46
07-22,09:47,17:47
07-23,09:48,17:48
07-24,09:49,17:49
07-25,09:50,17:50
07-26,09:51,17:51
07-27,09:52,17:52
07-28,09:53,17:53
07-29,09:54,17:54
07-30,09:55,17:55
07-31,09:56,17:56
08-01,09:57,17:57
08-02,09:58,17:58
08-03,09:59,17:59
08-04,10:00,18:00
08-05,10:01,18:01
08-06,10:02,18:02
08-07,10:03,18:03
08-08,10:04,18:04
08-09,10:05,18:05
08-10,10:06,18:06
08-11,10:07,18:07
08-12,10:08,18:08
08-13,10:09,18:09
08-14,10:10,18:10
08-15,10:11,18:11
08-16,10:12,18:12
08-17,10:13,18:13
08-18,10:14,18:14
08-19,10:15,18:15
08-20,10:16,18:16
08-21,10:17,18:17
08-22,10:18,18:18
08-23,10:19,18:19
08-24,10:20,18:20
08-25,10:21,18:21
08-26,10:22,18:22
08-27,10:23,18:23
08-28,10:24,18:24
08-29,10:25,18:25
08-30,10:26,18:26
08-31,10:27,18:27
09-01,10:28,18:28
09-02,10:29,18:29
09-03,10:30,18:30
09-04,10:31,18:31
09-05,10:32,18:32
09-06,10:33,18:33
09-07,10:34,18:34
09-08,10:35,18:35
09-09,10:36,18:36
09-10,10:37,18:37
09-11,10:38,18:38
09-12,10:39,18:39
09-13,10:40,18:40
09-14,10:41,18:41
09-15,10:42,18:42
09-16,10:43,18:43
09-17,10:44,18:44
09-18,10:45,18:45
09-19,10:46,18:46
09-20,10:47,18:47
09-21,10:48,18:48
09-22,10:49,18:49
09-23,10:50,18:50
09-24,10:51,18:51
09-25,10:52,18:52
09-26,10:53,18:53
09-27,10:54,18:54
09-28,10:55,18:55
09-29,10:56,18:56
09-30,10:57,18:57
10-01,10:58,18:58
10-02,10:59,18:59
10-03,11:00,19:00
10-04,11:01,19:01
10-05,11:02,19:02
10-06,11:03,19:03
10-07,11:04,19:04
10-08,11:05,19:05
10-09,11:06,19:06
10-10,11:07,19:07
10-11,11:08,19:08
10-12,11:09,19:09
10-13,11:10,19:10
10-14,11:11,19:11
10-15,11:12,19:12
10-16,11:13,19:13
10-17,11:14,19:14
10-18,11:15,19:15
10-19,11:16,19:16
10-20,11:17,19:17
10-21,11:18,19:18
10-22,11:19,19:19
10-23,11:20,19:20
10-24,11:21,19:21
10-25,11:22,19:22
10-26,11:23,19:23
10-27,11:24,19:24
10-28,11:25,19:25
10-29,11:26,19:26
10-30,11:27,19:27
10-31,11:28,19:28
11-01,11:29,19:29
11-02,11:30,19:30
11-03,11:31,19:31
11-04,11:32,19:32
11-05,11:33,19:33
11-06,11:34,19:34
11-07,11:35,19:35
11-08,11:36,19:36
11-09,11:37,19:37
11-10,11:38,19:38
11-11,11:39,19:39
11-12,11:40,19:40
11-13,11:41,19:41
11-14,11:42,19:42
11-15,11:43,19:43
11-16,11:44,19:44
11-17,11:45,19:45
11-18,11:46,19:46
11-19,11:47,19:47
11-20,11:48,19:48
11-21,11:49,19:49
11-22,11:50,19:50
11-23,11:51,19:51
11-24,11:52,19:52
11-25,11:53,19:53
11-26,11:54,19:54
11-27,11:55,19:55
11-28,11:56,19:56
11-29,11:57,19:57
11-30,11:58,19:58
12-01,11:59,19:59
12-02,12:00,20:00
12-03,12:01,20:01
12-04,12:02,20:02
12-05,12:03,20:03
12-06,12:04,20:04
12-07,12:05,20:05
12-08,12:06,20:06
12-09,12:07,20:07
12-10,12:08,20:08
12-11,12:09,20:09
12-12,12:10,20:10
12-13,12:11,20:11
12-14,12:12,20:12
12-15,12:13,20:13
12-16,12:14,20:14
12-17,12:15,20:15
12-18,12:16,20:16
12-19,12:17,20:17
12-20,12:18,20:18
12-21,12:19,20:19
12-22,12:20,20:20
12-23,12:21,20:21
12-24,12:22,20:22
12-25,12:23,20:23
12-26,12:24,20:24
12-27,12:25,20:25
12-28,12:26,20:26
12-29,12:27,20:27
12-30,12:28,20:28
12-31,12:29,20:29
